anime_id,url,title,release_year,episodes_available,episodes_total,scrape_id,scraped_at
20237,https://9animetv.to/watch/reincarnated-as-a-dragon-hatchling-20237,Reincarnated as a Dragon Hatchling,2026,12,12,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20389,https://9animetv.to/watch/chained-soldier-season-2-20389,Chained Soldier Season 2,2026,12,12,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20305,https://9animetv.to/watch/hell-mode-the-hardcore-gamer-dominates-in-another-world-with-garbage-balancing-20305,Hell Mode: The Hardcore Gamer Dominates in Another World with Garbage Balancing,2026,12,12,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
4999,https://9animetv.to/watch/majokko-megu-chan-4999,Majokko Megu-chan,1974,46,72,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20253,https://9animetv.to/watch/an-adventurers-daily-grind-at-age-29-20253,An Adventurer's Daily Grind at Age 29,2026,12,12,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20397,https://9animetv.to/watch/my-star-season-3-20397,My Star Season 3,2026,11,11,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
1839,https://9animetv.to/watch/tico-and-friends-1839,Tico and Friends,1994,39,39,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
14124,https://9animetv.to/watch/honto-ni-atta-gakkou-kaidan-14124,Honto ni Atta Gakkou Kaidan,1996,1,1,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
19600,https://9animetv.to/watch/princession-orchestra-19600,Princession Orchestra,2025,48,48,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20449,https://9animetv.to/watch/chained-soldier-season-2-uncensored-20449,Chained Soldier Season 2 [Uncensored],2026,12,12,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
