anime_id,url,title,period,rank,view_count,scrape_id,scraped_at
100,https://9animetv.to/watch/one-piece-100,One Piece,today,1,1113,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20575,https://9animetv.to/watch/classroom-of-the-elite-iv-20575,Classroom of the Elite IV,today,2,629,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20602,https://9animetv.to/watch/the-beginning-after-the-end-season-2-20602,The Beginning After the End Season 2,today,3,568,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20401,https://9animetv.to/watch/jujutsu-kaisen-the-culling-game-part-1-20401,Jujutsu Kaisen: The Culling Game Part 1,today,4,520,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20569,https://9animetv.to/watch/rezero-starting-life-in-another-world-season-4-20569,Re:ZERO -Starting Life in Another World- Season 4,today,5,412,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20578,https://9animetv.to/watch/witch-hat-atelier-20578,Witch Hat Atelier,today,6,262,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20405,https://9animetv.to/watch/hells-paradise-season-2-20405,Hell's Paradise Season 2,today,7,261,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20409,https://9animetv.to/watch/frieren-beyond-journeys-end-season-2-20409,Frieren: Beyond Journey's End Season 2,today,8,203,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
355,https://9animetv.to/watch/naruto-shippuden-355,Naruto: Shippuden,today,9,181,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
20385,https://9animetv.to/watch/sentenced-to-be-a-hero-20385,Sentenced to Be a Hero,today,10,180,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
100,https://9animetv.to/watch/one-piece-100,One Piece,week,1,9554,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z
